Account,trade_date,daily_pnl,daily_volume,avg_trade_size,num_trades,daily_fees,win_count,closing_trade_count,pnl_volatility,net_signed_size,buy_volume,win_rate,fee_pct_of_volume,fear_greed_value,sentiment,sentiment_binary
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-11,0.0,900880.13,5089.718248587571,177,167.796055,0.0,0,0.0,-281.0,0.0,,0.0186257915356619,76,Extreme Greed,Greed
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-17,0.0,542413.1799999999,7976.664411764705,68,67.883615,0.0,0,0.0,-1100.0,0.0,,0.0125151116350085,90,Extreme Greed,Greed
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-18,0.0,949380.0,23734.5,40,94.93798300000002,0.0,0,0.0,-300.0,0.0,,0.0099999982093576,83,Extreme Greed,Greed
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-22,-21227.0,338240.0,28186.666666666668,12,33.823995,0.0,12,1526.178379345434,100.0,338239.99999999994,0.0,0.0099999985217596,94,Extreme Greed,Greed
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-26,1603.1,465700.0,17248.14814814815,27,104.62249,12.0,12,243.6543692976796,-4.618527782440651e-14,232210.01,100.0,0.0224656409705819,79,Extreme Greed,Greed
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-27,-132271.0,1316799.98,16058.536341463414,82,131.679967,0.0,82,2491.584545894342,1300.0,1316799.9800000002,0.0,0.0099999976458079,75,Extreme Greed,Greed
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-30,0.0,734191.08,33372.321818181816,22,256.966863,0.0,0,0.0,-197.2074,0.0,,0.0349999979569351,84,Extreme Greed,Greed
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-12-06,-57620.89595600001,397775.79,12430.4934375,32,39.777576,0.0,32,4348.178826624867,98.435,397775.79,0.0,0.0099999992458062,72,Greed,Greed
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-01-19,71393.964098,5306093.62,11410.954021505377,465,780.33644,23.0,112,2073.74627044686,-7419.88,1586190.86,20.535714285714285,0.0147064205022451,77,Extreme Greed,Greed
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-01-20,40218.599998,479429.99,9400.588039215689,51,23.971493,28.0,28,2792.2402191840697,0.0,234000.0,100.0,0.0049999986442233,76,Extreme Greed,Greed
